,date
0,2016-06-13
1,2016-09-13
2,2016-08-09
3,2017-09-04
4,2016-09-15
5,2016-07-12
6,2017-08-23
7,2018-02-27
8,2017-08-29
9,2016-09-19
10,2016-08-16
11,2017-06-28
12,2018-08-23
13,2016-06-07
14,2016-09-29
15,2016-08-10
16,2016-09-27
17,2016-02-19
18,2015-08-17
19,2017-02-07
20,2016-08-06
21,2016-08-14
22,2016-10-04
